"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","test_create_assignment_batch_adds_batch_and_commits","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceCreateAssignmentBatch","test_jury_service","",""
"","5","test_process_single_item_skips_when_email_already_registered","tests.unit.admin","2026-05-11","passed","2026-05-11","TestBulkImportProcessSingleItem","test_admin_service","",""
"","9","test_recommend_supervisors_group_not_found_raises_value_error","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceRecommendSupervisors","test_supervisor_service","",""
"","7","test_reset_all_jury_data_commits_after_repository","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceResetAndRepository","test_jury_service","",""
"","2","test_health_check_calls_client","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceHealthCheck","test_jury_service","",""
"","1","test_normalize_ai_payload_flattens_dict_assignments","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceNormalizePayload","test_jury_service","",""
"","13","test_get_current_user_when_valid_returns_user","tests.unit.auth","2026-05-11","passed","2026-05-11","TestSupabaseAuthGetCurrentUser","test_auth_service","",""
"","7","test_get_batch_matches_service_error_records_failure","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceGetBatchMatches","test_jury_service","",""
"","2","test_get_jury_matches_returns_none_when_no_latest_batch","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceResetAndRepository","test_jury_service","",""
"","3","test_create_student_duplicate_email_raises_value_error","tests.unit.admin","2026-05-11","passed","2026-05-11","TestBulkImportCreateSingleStudent","test_admin_service","",""
"","45","test_proposal_introduction_above_max_rejected_by_schema","tests.unit.jury","2026-05-11","passed","2026-05-11","TestProposalEvaluationSchemaBoundaries","test_jury_service","",""
"","12","test_evaluation_status_uses_repo_counts_when_milestone_active","tests.unit.admin","2026-05-11","passed","2026-05-11","TestAdminDashboardEvaluationBranch","test_admin_service","",""
"","11","test_get_dashboard_when_tasks_counts_mix_maps_status_distribution","tests.unit.student","2026-05-11","passed","2026-05-11","TestStudentDashboardServiceGetDashboardPayload","test_student_service","",""
"","8","test_get_dashboard_payload_supervisor_calls_repo_and_omits_jury_section","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestFacultyDashboardServiceSupervisorBranch","test_supervisor_service","",""
"","14","test_transform_members_maps_skills_and_portfolio","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceTransforms","test_supervisor_service","",""
"JWT_ALGORITHM should default to HS256.","40","test_settings_jwt_algorithm_default","tests.unit","2026-05-11","passed","2026-05-11","TestConfigSettings","test_config","",""
"","10","test_get_dashboard_when_fyp2_passes_fyp2_targets_for_submission_requests","tests.unit.student","2026-05-11","passed","2026-05-11","TestStudentDashboardServiceGetDashboardPayload","test_student_service","",""
"ENV should be 'testing' in test environment.","34","test_settings_env_is_testing","tests.unit","2026-05-11","passed","2026-05-11","TestConfigSettings","test_config","",""
"","3","test_require_roles_when_admin_required_and_user_student_raises_403","tests.unit.auth","2026-05-11","passed","2026-05-11","TestRequireRoles","test_auth_service","",""
"","5","test_trigger_reindex_returns_client_payload","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceTriggerReindex","test_jury_service","",""
"","3","test_require_roles_when_admin_required_and_user_admin_returns_user","tests.unit.auth","2026-05-11","passed","2026-05-11","TestRequireRoles","test_auth_service","",""
"","8","test_transform_recommendations_scales_fractional_score_to_percent","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceTransforms","test_supervisor_service","",""
"Redis URL should be configured.","45","test_settings_redis_url_present","tests.unit","2026-05-11","passed","2026-05-11","TestConfigSettings","test_config","",""
"Repository delegates to SQL UPDATE; assert execute is used and rowcount is returned.","3","test_deactivate_expired_students_returns_rowcount","tests.unit.services","2026-05-11","passed","2026-05-11","","test_student_lifecycle","",""
"","2","test_update_assignment_jury_returns_none_when_pair_missing","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceResetAndRepository","test_jury_service","",""
"","2","test_user_create_when_password_too_short_raises_value_error","tests.unit.auth","2026-05-11","passed","2026-05-11","TestUserCreateValidation","test_auth_service","",""
"","18","test_recommend_supervisors_ai_error_records_failure","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceRecommendSupervisors","test_supervisor_service","",""
"","383","test_create_student_success_when_email_and_roll_available","tests.unit.admin","2026-05-11","passed","2026-05-11","TestBulkImportCreateSingleStudent","test_admin_service","",""
"","34","auth_missing","","2026-05-11","passed","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/jury-evaluations — faculty jury evaluations by milestone","faculty/faculty.spec.ts","",""
"","26","wrong_role","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003 — faculty milestone by id","faculty/faculty.spec.ts","",""
"","28","wrong_role","","2026-05-11","skipped","2026-05-11","Jury HTTP API > GET /api/jury-matching/assign/00000000-0000-4000-8000-000000000005/status — jury assignment status by batch","jury/jury.spec.ts","",""
"","22","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/milestones/00000000-0000-4000-8000-000000000001 — milestone by id","student/student.spec.ts","",""
"","29","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/official — official submissions list","student/student.spec.ts","",""
"","10","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > PATCH /api/students/profile — patch student profile","student/student.spec.ts","",""
"","29","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/announcements/00000000-0000-4000-8000-000000000006 — faculty announcement by id","faculty/faculty.spec.ts","",""
"","83","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > POST /api/admin/submission-evaluation-update/00000000-0000-4000-8000-000000000014 — admin submission evaluation update","admin/admin.spec.ts","",""
"","51","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/submissions/official/00000000-0000-4000-8000-000000000002 — official submission detail","student/student.spec.ts","",""
"","17","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/admin — announcements admin","student/student.spec.ts","",""
"","29","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/announcements — admin list announcements","admin/admin.spec.ts","",""
"","21","happy_path","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/jury-groups — faculty jury groups by milestone","faculty/faculty.spec.ts","",""
"","1","placeholder","","2026-05-11","skipped","2026-05-11","Groups Module","groups/groups.spec.ts","",""
"","52","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/milestones/00000000-0000-4000-8000-000000000013 — admin milestone detail","admin/admin.spec.ts","",""
"","4","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/official/00000000-0000-4000-8000-000000000002 — official submission detail","student/student.spec.ts","",""
"","24","happy_path","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > POST /api/faculty/wizard-profile — faculty wizard profile","faculty/faculty.spec.ts","",""
"","82","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/announcements/admin — announcements admin","student/student.spec.ts","",""
"","32","wrong_role","","2026-05-11","skipped","2026-05-11","Admin HTTP API > POST /api/admin/milestones — admin create milestone","admin/admin.spec.ts","",""
"","26","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/profile — student profile","student/student.spec.ts","",""
"","24","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/announcements/admin-announcements — faculty admin announcements","faculty/faculty.spec.ts","",""
"","25","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/profile — faculty profile","faculty/faculty.spec.ts","",""
"","97","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > PATCH /api/admin/milestones/proposal-evaluation-config — admin patch proposal config (disabled by backend)","admin/admin.spec.ts","",""
"","33","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/milestones/00000000-0000-4000-8000-000000000013 — admin patch milestone","admin/admin.spec.ts","",""
"","9276","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admins/profile — admin profile","admin/admin.spec.ts","",""
"","20","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/announcements/supervisor — announcements supervisor","student/student.spec.ts","",""
"","38","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/groups — admin list groups","admin/admin.spec.ts","",""
"","73","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > GET /api/admin/submission-files/00000000-0000-4000-8000-000000000014/00000000-0000-4000-8000-000000000015/download — admin submission file download","admin/admin.spec.ts","",""
"","23","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/invites/supervisor/00000000-0000-4000-8000-000000000008/details — faculty request details","faculty/faculty.spec.ts","",""
"","56","should_fail_when_authorization_header_missing","","2026-05-11","failed","2026-05-11","Auth Module > GET /auth/me","auth/auth.spec.ts","",""
"","35","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > POST /api/admin/groups/00000000-0000-4000-8000-000000000011/assign-cosupervisor — admin assign cosupervisor","admin/admin.spec.ts","",""
"","5","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/unofficial — unofficial submissions list","student/student.spec.ts","",""
"","30","auth_missing","","2026-05-11","passed","2026-05-11","Faculty HTTP API > GET /api/faculty/dashboard/insights — faculty dashboard insights","faculty/faculty.spec.ts","",""
"","23","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/milestones/00000000-0000-4000-8000-000000000001 — milestone by id","student/student.spec.ts","",""
"","1485","should_return_200_for_nonexistent_email_same_message","","2026-05-11","passed","2026-05-11","Auth Module > POST /auth/forgot-password","auth/auth.spec.ts","",""
"","44","wrong_role","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/students — admin list students","admin/admin.spec.ts","",""
"","5036","should_return_400_when_email_already_registered","","2026-05-11","passed","2026-05-11","Auth Module > POST /auth/signup","auth/auth.spec.ts","",""
"","32","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/groups — admin list groups","admin/admin.spec.ts","",""
"","31","wrong_role","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/jury-groups — faculty jury groups by milestone","faculty/faculty.spec.ts","",""
"","5","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/templates — announcement templates","student/student.spec.ts","",""
"","14","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/submissions/official/00000000-0000-4000-8000-000000000002 — official submission detail","student/student.spec.ts","",""
"","6","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/templates — announcement templates","student/student.spec.ts","",""
"","29","auth_missing","","2026-05-11","passed","2026-05-11","Jury HTTP API > GET /api/jury-matching/jury-pairs — jury pairs dropdown","jury/jury.spec.ts","",""
"","82","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/dashboard/insights — admin dashboard insights","admin/admin.spec.ts","",""
"","22","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/milestones/00000000-0000-4000-8000-000000000001 — milestone by id","student/student.spec.ts","",""
"","34","wrong_role","","2026-05-11","skipped","2026-05-11","Admin HTTP API > DELETE /api/admin/groups/00000000-0000-4000-8000-000000000011/remove-supervisor — admin remove supervisor","admin/admin.spec.ts","",""
"","38","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/milestones/00000000-0000-4000-8000-000000000013 — admin patch milestone","admin/admin.spec.ts","",""
"","6","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/templates — announcement templates","student/student.spec.ts","",""
"","4","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/document-types — document types (any authenticated)","student/student.spec.ts","",""
"","30","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/dashboard/insights — dashboard insights","student/student.spec.ts","",""
"","41","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/dashboard/insights — admin dashboard insights","admin/admin.spec.ts","",""
"","71","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > GET /api/admin/announcements — admin list announcements","admin/admin.spec.ts","",""
"","20","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Jury HTTP API > DELETE /api/jury-matching/assignments — delete all assignments","jury/jury.spec.ts","",""
"","30","wrong_role","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/dashboard/insights — faculty dashboard insights","faculty/faculty.spec.ts","",""
"","77","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/supervisor — announcements supervisor","student/student.spec.ts","",""
"","6","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/admin — announcements admin","student/student.spec.ts","",""
"","38","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/announcements/00000000-0000-4000-8000-000000000012 — admin announcement by id","admin/admin.spec.ts","",""
"","7","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/milestones/00000000-0000-4000-8000-000000000001 — milestone by id","student/student.spec.ts","",""
"","20","wrong_role","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > POST /api/invites/supervisor/00000000-0000-4000-8000-000000000008/accept — faculty accept request","faculty/faculty.spec.ts","",""
"","62","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admins/profile — admin profile","admin/admin.spec.ts","",""
"","30","auth_missing","","2026-05-11","passed","2026-05-11","Faculty HTTP API > GET /api/faculty/announcements/admin-announcements — faculty admin announcements","faculty/faculty.spec.ts","",""
"","63","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > GET /api/admin/announcements/00000000-0000-4000-8000-000000000012 — admin announcement by id","admin/admin.spec.ts","",""
"","22","happy_path","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/evaluations — faculty milestone evaluations list","faculty/faculty.spec.ts","",""
"","31","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/official — official submissions list","student/student.spec.ts","",""
"","21","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/evaluations — faculty milestone evaluations list","faculty/faculty.spec.ts","",""
"","13","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/announcements/templates — announcement templates","student/student.spec.ts","",""
"","4","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/official — official submissions list","student/student.spec.ts","",""
"","19","wrong_role","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/announcement-files/00000000-0000-4000-8000-000000000015/download — admin announcement file download","admin/admin.spec.ts","",""
"","44","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/faculty/00000000-0000-4000-8000-000000000010/profile-update — admin faculty profile update","admin/admin.spec.ts","",""
"","44","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/faculty/dropdown — admin faculty dropdown","admin/admin.spec.ts","",""
"","26","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/supervisors/my-groups/dropdown — supervisor groups dropdown","faculty/faculty.spec.ts","",""
"","53","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/milestones/proposal-evaluation-config — admin patch proposal config (disabled by backend)","admin/admin.spec.ts","",""
"","7","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/admin — announcements admin","student/student.spec.ts","",""
"","56","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Admin HTTP API > POST /api/admins/wizard-profile — admin wizard profile","admin/admin.spec.ts","",""
"","5","AI indexing endpoint intentionally skipped","","2026-05-11","skipped","2026-05-11","Jury HTTP API > POST /api/jury-matching/reindex — reindex jury data (AI)","jury/jury.spec.ts","",""
"","41","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > POST /api/admin/submission-evaluation-update/00000000-0000-4000-8000-000000000014 — admin submission evaluation update","admin/admin.spec.ts","",""
"","8","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/official — official submissions list","student/student.spec.ts","",""
"","48","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/milestones/proposal-evaluation-config — admin patch proposal config (disabled by backend)","admin/admin.spec.ts","",""
"","29","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/submission-details/00000000-0000-4000-8000-000000000012 — admin submission details","admin/admin.spec.ts","",""
"","19","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/milestones — milestones list","student/student.spec.ts","",""
"","24","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/announcements/admin-announcements — faculty admin announcements","faculty/faculty.spec.ts","",""
"","16","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/admin — announcements admin","student/student.spec.ts","",""
"","56","wrong_role","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/groups/cohort/F24/cycle — admin update cohort cycle","admin/admin.spec.ts","",""
"","26","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > PATCH /api/students/profile — patch student profile","student/student.spec.ts","",""
"","49","wrong_role","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/faculty/00000000-0000-4000-8000-000000000010/profile-update — admin faculty profile update","admin/admin.spec.ts","",""
"","27","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/jury-groups — faculty jury groups by milestone","faculty/faculty.spec.ts","",""
"","33","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/announcements/templates — announcement templates","student/student.spec.ts","",""
"","65","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > POST /api/admins/wizard-profile — admin wizard profile","admin/admin.spec.ts","",""
"","25","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/dashboard/insights — dashboard insights","student/student.spec.ts","",""
"","26","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/announcements — faculty announcements list","faculty/faculty.spec.ts","",""
"","28","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/dashboard/insights — dashboard insights","student/student.spec.ts","",""
"","48","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/faculty/dropdown — admin faculty dropdown","admin/admin.spec.ts","",""
"","24","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/unofficial — unofficial submissions list","student/student.spec.ts","",""
"","36","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/faculty/00000000-0000-4000-8000-000000000010 — admin faculty profile","admin/admin.spec.ts","",""
"","5","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/document-types — document types (any authenticated)","student/student.spec.ts","",""
"","4","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/submissions/official — official submissions list","student/student.spec.ts","",""
"","31","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/supervisors/my-groups/dropdown — supervisor groups dropdown","faculty/faculty.spec.ts","",""
"","26","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Jury HTTP API > GET /api/jury-matching/assign/00000000-0000-4000-8000-000000000005/status — jury assignment status by batch","jury/jury.spec.ts","",""
"","38","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/submission-evaluation/00000000-0000-4000-8000-000000000014 — admin submission evaluation detail","admin/admin.spec.ts","",""
"","52","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > POST /api/students/wizard-profile — wizard profile","student/student.spec.ts","",""
"","66","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > GET /api/admin/milestones/00000000-0000-4000-8000-000000000013/evaluations — admin milestone evaluations","admin/admin.spec.ts","",""
"","21","happy_path","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > POST /api/invites/supervisor/00000000-0000-4000-8000-000000000008/reject — faculty reject request","faculty/faculty.spec.ts","",""
"","6","wrong_role","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/announcements/admin — announcements admin","student/student.spec.ts","",""
"","34","auth_missing","","2026-05-11","passed","2026-05-11","Faculty HTTP API > POST /api/faculty/wizard-profile — faculty wizard profile","faculty/faculty.spec.ts","",""
"","28","happy_path","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/jury-evaluations — faculty jury evaluations by milestone","faculty/faculty.spec.ts","",""
"","22","wrong_role","","2026-05-11","skipped","2026-05-11","Jury HTTP API > DELETE /api/jury-matching/assignments — delete all assignments","jury/jury.spec.ts","",""
"","66","auth_missing","","2026-05-11","passed","2026-05-11","Admin HTTP API > GET /api/admin/faculty — admin list faculty","admin/admin.spec.ts","",""
"","9","happy_path","","2026-05-11","skipped","2026-05-11","Student HTTP API > PATCH /api/students/profile — patch student profile","student/student.spec.ts","",""
"","43","happy_path","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/invites/supervisor/00000000-0000-4000-8000-000000000008/details — faculty request details","faculty/faculty.spec.ts","",""
"","39","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > POST /api/students/wizard-profile — wizard profile","student/student.spec.ts","",""
"","30","should_fail_when_authorization_header_missing","","2026-05-11","passed","2026-05-11","Auth Module > GET /auth/me","auth/auth.spec.ts","",""
"","25","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Student HTTP API > GET /api/students/profile — student profile","student/student.spec.ts","",""
"","35","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > GET /api/admin/milestones — admin milestones list","admin/admin.spec.ts","",""
"","30","not_found_or_guard","","2026-05-11","skipped","2026-05-11","Faculty HTTP API > GET /api/faculty/milestones/00000000-0000-4000-8000-000000000003/jury-groups — faculty jury groups by milestone","faculty/faculty.spec.ts","",""
"","44","happy_path","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/milestones/00000000-0000-4000-8000-000000000013 — admin patch milestone","admin/admin.spec.ts","",""
"","39","invalid_body_or_query","","2026-05-11","skipped","2026-05-11","Admin HTTP API > PATCH /api/admin/students/00000000-0000-4000-8000-000000000004/toggle-active — admin toggle student active","admin/admin.spec.ts","",""
"","40","auth_missing","","2026-05-11","passed","2026-05-11","Student HTTP API > GET /api/students/submissions/unofficial — unofficial submissions list","student/student.spec.ts","",""
"","40","auth_missing","","2026-05-11","passed","2026-05-11","Jury HTTP API > GET /api/jury-matching/assignments — jury assignments list","jury/jury.spec.ts","",""
