user_id,department,designation,office,requirements,capacity_max,capacity_filled,project_type,is_supervisor,is_jury,is_active
1c9dbfd5-950d-4ac8-975d-ebe3acdb9a86,Computer Science,Professor,CS-308,"{""Weekly sync"",""Timely updates""}",9,0,research,t,t,t
4985fda7-2b2f-43e6-84f7-1909630f3e12,Data Science,Associate Professor,DS-205,"{""Weekly sync"",""Timely updates""}",7,0,research,t,t,t
55097e4d-826b-4407-917b-db4bc8b3ecba,Computer Science,Associate Professor,"Room 301, CS Building","{""Strong programming skills in Python or JavaScript"",""Good communication and teamwork"",""Experience with databases""}",5,1,product and research,t,t,t
32d7cc59-88ac-4d3d-b37e-5602cad1605c,Computer Science,Professor,FAST-NUCES Karachi,"{""AI/ML fundamentals and system thinking"",""Ability to build end-to-end working systems"",""Familiarity with recommender/CV concepts (nice to have)"",""Strong analytical and system design skills"",""Research-backed implementation"",""Weekly sync + documentation""}",10,1,research,t,t,t
70a229f8-4ccb-443f-a51e-dd7e819be77d,Computer Science,Professor,FAST-NUCES Karachi,"{""Strong core CS fundamentals"",""Backend development & databases understanding"",""Ability to design scalable systems"",""Clean architecture and performance awareness"",""Regular progress updates"",""Proper documentation and version control""}",10,0,research,t,t,t
504c9e22-0208-48f1-b023-3d7a32d98014,Computer Science,Lecturer,FAST-NUCES Karachi,"{""Strong programming and logic building"",""Ability to build small-to-medium applications"",""Debugging and problem-solving skills"",""Regular meetings and updates"",""Timeline discipline"",""Maintainable code practices""}",6,0,product,t,t,t
625d84df-c686-4345-81de-6ab9b815cd4a,Computer Science,Lecturer,FAST-NUCES Karachi,"{""Understanding of AI-powered systems"",""Familiarity with RAG/LLM-based concepts (nice to have)"",""Ability to integrate APIs and data pipelines"",""Strong documentation and reporting"",""Weekly sync meetings"",""Milestone-based deliverables""}",6,0,product,t,t,t
6451ac2b-7625-4878-ab33-362c91544a69,Cyber Security,Lecturer,FAST-NUCES Karachi,"{""Strong cybersecurity fundamentals"",""Network security and threat modeling"",""Ethical handling of sensitive data"",""Clear vulnerability documentation"",""Regular security-focused updates"",""Secure coding awareness""}",6,0,product,t,t,t
c6ae93de-03ad-45d2-ba13-08297c77ffa9,Computer Science,Lecturer,FAST-NUCES Karachi,"{""Strong programming basics"",""Ability to build web/desktop applications"",""Structured problem-solving approach"",""Regular milestone tracking"",""Clear communication"",""Documentation and Git usage""}",6,0,product,t,t,t
9047f287-1b22-44af-8124-8aea84127a91,Artificial Intelligence,Lecturer,FAST-NUCES Karachi,"{""Machine Learning fundamentals"",""Python + ML libraries (sklearn/PyTorch/TensorFlow)"",""Ability to train and evaluate models"",""Applied AI problem-solving"",""Consistent progress updates"",""Documented experimentation and results""}",6,0,product,t,t,t
77e603b6-0604-4a53-a490-115fbfc5b39f,Software Engineering,Lecturer,FAST-NUCES Karachi,"{""Software development experience"",""Understanding of SDLC"",""Ability to implement features end-to-end"",""Regular progress updates"",""Code quality awareness"",""Git + documentation discipline""}",6,0,product,t,t,t
a109bf87-79fc-421d-905f-76144559b547,Software Engineering,Lecturer,FAST-NUCES Karachi,"{""Strong web development fundamentals"",""UI/UX awareness for usable interfaces"",""Backend integration skills"",""Consistent milestone delivery"",""Documentation and demos"",""Clean code standards""}",6,0,product,t,t,t
6e5a0f0a-0956-4ce7-9c39-34d34d20c721,Software Engineering,Lecturer,FAST-NUCES Karachi,"{""Software development tooling familiarity"",""Ability to translate requirements into code"",""Usability and performance awareness"",""Regular check-ins and updates"",""Team collaboration"",""Documentation and version control""}",6,0,product,t,t,t
580fba1a-f90c-4d4b-8742-a4140495f18c,Computer Science,Professor,101,"{asdsadadas,sdadsads}",5,0,,t,t,t
171160dd-aa8c-4f77-b3dd-a1b5ac5ffc5c,Computer Science,Professor,CS-203,"{""Weekly sync"",""Timely updates"",""bmncx
c z
n"",z}",10,1,product and research,t,t,t
d9e17a67-c247-4cef-8967-bee5a1edc770,Computer Science,Assistant Professor,FAST-NUCES Karachi,"{""Computer Vision + Deep Learning experience"",""YOLO/object detection familiarity"",""Ability to work with real-time video streams"",""Strong debugging and problem-solving skills"",""Sprint reviews and weekly demos"",""On-time milestone submissions""}",9,2,product and research,t,t,t
44d920e7-8559-4888-8d08-dc28764f069f,Computer Science,Lecturer,r-11,{},5,0,research,t,t,t
29d09c99-49fe-4692-a32c-f72bb890319e,Artificial Intelligence,Lecturer,FAST-NUCES Karachi,"{""Strong ML fundamentals"",""Experience with datasets and evaluation"",""AI-based application interest"",""Ability to explain technical decisions"",""Regular progress reviews"",""Documented results and iteration""}",6,0,product,t,t,t
8188532f-31eb-46da-8924-7e06c09835d1,Computer Science,Assistant Professor,FAST-NUCES Karachi,"{""Strong programming fundamentals"",""Experience with web/system development"",""Ability to convert requirements into features"",""Regular progress demos"",""Practical implementation focus"",""On-time task completion""}",8,1,product and research,t,t,t
7b0a46f3-c2b9-4667-8e37-9d43ae45f712,Computer Science,Lecturer,FAST-NUCES Karachi,"{""Web development fundamentals"",""Understanding of SDLC basics"",""Team-based collaboration skills"",""Regular progress reporting"",""Clean and documented code"",""Use of Git and issue tracking""}",6,1,product,t,t,t
1015077a-55d0-47cf-a8fe-7bb952740a00,Cyber Security,Associate Professor,FAST-NUCES Karachi,"{""Strong cybersecurity background"",""Secure system design understanding"",""Ability to perform security analysis"",""Research-driven approach"",""Formal documentation and reporting"",""Weekly sync and milestone tracking""}",9,1,research,t,t,t
0c8d3ffa-7f9b-4724-bc0a-1c5159c3d97b,Mechanical Engineering,Professor,ME-103,"{""Weekly sync"",""Timely updates""}",6,0,product and research,t,t,t
3a861a1c-a7ad-4975-8374-7024264d010f,Software Engineering,Assistant Professor,FAST-NUCES Karachi,"{""Strong software engineering principles"",""Design patterns and architecture understanding"",""Clean, maintainable code practices"",""Testing and validation mindset"",""Sprint-based reviews"",""Proper documentation and code standards""}",8,1,product and research,t,t,t
adc064fe-6b1a-488b-a9b6-5fac822c78b3,Computer Science,Assistant Professor,FAST-NUCES Karachi,"{""Strong full-stack development skills"",""APIs + database integration experience"",""Good UI + backend coordination"",""Clean and readable code"",""On-time milestones"",""Clear communication and documentation""}",8,0,product and research,t,t,t
d329f9cf-d4e4-4c8b-a99f-8c486702315e,Computer Science,Associate Professor,FAST-NUCES Karachi,"{""Strong Software Engineering fundamentals"",""Web/mobile development experience"",""Basic AI/ML integration understanding"",""Clean, modular, maintainable code"",""Weekly sync meetings"",""Milestone-based delivery and demos""}",9,0,research,t,t,t
310b0780-ac2d-440b-85ee-a025f083808d,Computer Science,Assistant Professor,,{},8,0,research,t,t,t
